         SEQ_ID,  PER(VLXT),  RNK(VLXT), PER(VSL2B), RNK(VSL2B),   PER(VL3),   RNK(VL3), PER(IUP_S), RNK(IUP_S), PER(IUP_L), RNK(IUP_L),  PER(PFIT),  RNK(PFIT),   PER(MDP),   RNK(MDP),       dCDF,        dCH,   len(seq)
         Q03154,      17.65,  0.2765213,      12.99,  0.3143263,       3.43,  0.1858085,       3.68,  0.2491566,       3.92,  0.2713363,       5.88,  0.1877955,       3.92,  0.2165227,  0.1234141, -0.1465718,   408
         P55038,      22.24,  0.2886958,      13.56,  0.3234612,       6.04,  0.2194123,       5.01,  0.2167151,       6.94,  0.2628803,       3.98,  0.1827744,       6.49,  0.2489900,  0.1089045, -0.1861941,  1556
         Q9NRF8,      15.70,  0.2559623,      13.48,  0.3086442,       7.00,  0.2477081,       4.27,  0.1958694,       3.92,  0.2018559,       8.36,  0.1936039,       5.80,  0.2339406,  0.1400771, -0.1986202,   586
         Q5SIA8,      39.82,  0.4152252,      13.82,  0.3417328,       5.27,  0.2871788,       5.64,  0.2173863,       4.00,  0.2505617,       6.00,  0.2235739,       2.00,  0.2414135, -0.0153483, -0.1964439,   550
         P70698,      29.27,  0.3194027,      22.50,  0.3767460,      28.93,  0.3517210,      13.54,  0.2303516,      11.00,  0.2500310,      13.54,  0.2589313,      15.74,  0.2978640,  0.0798881, -0.1544368,   591
         P70303,      17.92,  0.2523691,      16.04,  0.3030968,      10.41,  0.2472101,       6.48,  0.1903665,       4.61,  0.1985510,       8.02,  0.1915837,       3.24,  0.1893278,  0.1437460, -0.1982437,   586
         P17812,      27.41,  0.3076382,      21.15,  0.3659798,      23.35,  0.3354847,      13.54,  0.2234569,      10.66,  0.2438997,      14.89,  0.2515875,      14.72,  0.2880079,  0.0904634, -0.1521868,   591
         P0A7E5,      29.72,  0.3342361,       9.72,  0.2935002,       1.10,  0.2007339,       2.57,  0.1986986,       1.47,  0.2220985,       4.04,  0.1881504,       1.65,  0.2061140,  0.0657426, -0.1963142,   545
         Q9ZMY2,      12.17,  0.2060856,      20.00,  0.3439716,       7.83,  0.2647187,       3.91,  0.1281722,       0.00,  0.1017276,      10.87,  0.2126143,       0.00,  0.1654286,  0.1905253, -0.2877464,   230
         Q81LL4,      15.15,  0.2656237,       7.36,  0.3195654,       0.00,  0.1926615,       3.03,  0.2029255,       0.43,  0.2153776,       7.79,  0.2106495,       0.00,  0.2023570,  0.1348335, -0.2080711,   231
         Q47UY5,      20.58,  0.2680668,      16.46,  0.3501841,       0.00,  0.1815960,       4.12,  0.2197094,       0.82,  0.2222579,      11.11,  0.2478485,       0.82,  0.2180111,  0.1321212, -0.2603794,   243
         A6T4W3,      11.21,  0.2291853,       5.60,  0.2705390,       0.00,  0.1404498,       3.45,  0.1284607,       0.00,  0.1214221,      10.78,  0.1917702,       0.43,  0.1568963,  0.1679839, -0.3118321,   232
         A5F5R2,      12.55,  0.2717902,      15.58,  0.3149872,      11.26,  0.2278782,       2.16,  0.1327779,       0.00,  0.1336839,      11.26,  0.2248244,       0.00,  0.1796772,  0.1298551, -0.3130442,   231
     A0A0E1SMD9,      22.51,  0.3202836,      17.75,  0.3427645,       4.76,  0.2409454,       3.46,  0.1923281,       0.00,  0.1859857,      12.55,  0.2530566,       0.43,  0.2157364,  0.0805045, -0.2815428,   231
         Q9KSM5,      27.80,  0.3186066,      12.54,  0.3412319,       0.00,  0.2175888,      10.17,  0.2153426,       6.78,  0.2208600,      10.85,  0.2236045,       5.76,  0.2199409,  0.0799799, -0.2170908,   295
         Q9NZK5,      13.70,  0.1640034,      11.35,  0.2804091,       4.11,  0.1648470,       1.57,  0.1255008,       0.00,  0.1221015,       3.13,  0.1617608,       0.78,  0.1422960,  0.2315156, -0.2251751,   511
         Q9I6Y4,      16.14,  0.2497973,      12.97,  0.2980509,       1.58,  0.1876508,       4.11,  0.1797085,       0.32,  0.1856085,       8.54,  0.1927505,       1.27,  0.1843193,  0.1467869, -0.1247940,   316
         Q8ZPL9,      19.52,  0.2963257,       5.41,  0.2778207,       3.90,  0.1479616,       2.70,  0.1592631,       0.60,  0.1850378,       6.91,  0.1659235,       2.40,  0.1807285,  0.1035203, -0.2217187,   333
         P03958,      29.55,  0.3070437,      20.17,  0.3629579,      10.51,  0.2394164,       6.82,  0.2423792,       3.12,  0.2608894,       8.81,  0.2093634,       4.26,  0.2304390,  0.0881005, -0.1006991,   352
         P00813,      27.82,  0.3226377,      18.46,  0.3500222,       8.54,  0.2238538,       4.41,  0.2485186,       2.48,  0.2747260,       6.34,  0.1906313,       3.58,  0.2310893,  0.0756048, -0.1147222,   363
         Q6GEY1,      18.34,  0.2254374,      16.16,  0.3056508,       0.00,  0.1849675,       3.93,  0.1388651,       0.00,  0.1189074,      10.92,  0.2177384,       2.18,  0.1677665,  0.1700657, -0.1023464,   229
         P31723,       9.78,  0.1695417,      26.22,  0.3706044,       5.68,  0.1668121,       5.48,  0.2273984,       4.89,  0.2384186,       5.28,  0.2193233,       1.57,  0.2042145,  0.2274061, -0.1104580,   511
         Q83BZ6,      21.18,  0.2517646,       8.59,  0.2770044,       0.00,  0.1870641,       1.72,  0.1520007,       0.19,  0.1486216,       4.58,  0.1668837,       1.34,  0.1660458,  0.1438723, -0.2312965,   524
