         SEQ_ID,  PER(VLXT),  RNK(VLXT), PER(VSL2B), RNK(VSL2B),   PER(VL3),   RNK(VL3), PER(IUP_S), RNK(IUP_S), PER(IUP_L), RNK(IUP_L),  PER(PFIT),  RNK(PFIT),   PER(MDP),   RNK(MDP),       dCDF,        dCH,   len(seq)
         Q9I2C4,      25.05,  0.3112475,       9.86,  0.2955120,       0.00,  0.1828769,       2.56,  0.1816855,       2.37,  0.2029158,       2.56,  0.1756522,       0.39,  0.1945021,  0.0875770, -0.2217596,   507
     A0A7H0DN46,       1.52,  0.0794205,       7.58,  0.2062202,       0.00,  0.1629339,       5.30,  0.0866651,       0.00,  0.0331401,      11.36,  0.1470179,       1.52,  0.0920773,  0.3136213, -0.2590683,   132
         P14779,      25.93,  0.2707635,      23.08,  0.3591624,      15.38,  0.2468768,      14.95,  0.2362900,       9.45,  0.2570591,      15.82,  0.2400141,       9.67,  0.2272148,  0.1277206, -0.1026535,   455
         P81453,      39.88,  0.3639063,      63.44,  0.5718259,      44.41,  0.3855669,      35.95,  0.4221759,      49.55,  0.4911126,      53.17,  0.4749521,      50.45,  0.4515902,  0.0348060,  0.0688874,   331
         Q8WWQ0,      20.31,  0.3514591,      37.50,  0.4302585,       0.00,  0.3637110,       9.38,  0.2701040,       0.00,  0.2189816,      20.31,  0.3274669,       2.34,  0.2663783,  0.0495707, -0.0426684,   128
         Q6V702,      28.57,  0.3349916,      20.71,  0.3631152,       0.00,  0.1685027,       9.29,  0.2790607,       2.86,  0.2531214,      20.71,  0.3121330,       0.00,  0.2570704,  0.0650283, -0.0840696,   140
         Q980V4,      22.35,  0.2919259,      14.12,  0.3053209,       9.41,  0.3097176,       4.71,  0.1265900,       0.00,  0.1101568,      12.35,  0.2339024,       3.53,  0.1779827,  0.1072133, -0.2170988,   170
         P56137,      26.15,  0.2883151,      17.68,  0.3392150,       0.00,  0.2466664,       8.96,  0.2070383,       5.08,  0.2115747,       8.96,  0.2199509,       3.15,  0.2110156,  0.1086724, -0.1736645,   413
         P17643,      20.13,  0.2516467,      36.91,  0.4191440,      20.58,  0.2959205,      11.19,  0.2560464,      10.29,  0.2841001,      14.77,  0.2715191,      19.02,  0.2963963,  0.1444226, -0.0737085,   447
         Q9H479,      16.15,  0.1993035,      12.71,  0.3258603,       3.44,  0.2267721,       4.47,  0.1830526,       0.00,  0.1746343,      11.34,  0.2087679,       2.75,  0.1819365,  0.1968766, -0.1809331,   291
         P00431,       3.72,  0.1068085,      28.04,  0.3947659,       9.80,  0.2241156,      12.84,  0.2872949,       9.12,  0.2940020,       9.46,  0.2499050,       3.38,  0.2221294,  0.2873981, -0.0257925,   296
         D1PD14,       8.20,  0.1309996,      16.94,  0.2891987,       0.00,  0.0938009,       9.56,  0.2029545,       3.83,  0.2085894,       7.10,  0.1988546,       4.37,  0.1717661,  0.2596224, -0.0887900,   366
         Q90YK9,       0.00,  0.1888981,      26.61,  0.4365878,       0.00,  0.3244782,       7.34,  0.1951807,       0.00,  0.1445733,      16.51,  0.2652742,       0.00,  0.2050857,  0.2101463, -0.1940856,   109
         Q70KE6,      17.15,  0.2890547,       4.83,  0.3027545,       0.00,  0.1937794,       1.93,  0.1926053,       0.00,  0.2093435,       2.90,  0.1688170,       0.00,  0.1937625,  0.1095590, -0.2038492,   414
         P0DV24,      13.64,  0.2622902,      12.12,  0.2978058,       0.00,  0.1995690,       2.27,  0.1495804,       0.00,  0.1149595,      12.12,  0.2167994,       0.00,  0.1735726,  0.1363486, -0.1517590,   132
     A0A059ZTK9,      14.37,  0.2080687,      10.85,  0.2723575,       0.00,  0.1668135,       4.69,  0.1430044,       0.59,  0.1465026,       4.69,  0.1831003,       0.00,  0.1588390,  0.1906985, -0.2386832,   341
         Q0PMD2,      14.13,  0.2332225,      16.30,  0.3151065,       5.43,  0.1747973,       5.98,  0.2019403,       0.00,  0.1690521,       7.07,  0.2091142,       0.00,  0.1880726,  0.1654166, -0.1272575,   184
         D7URW9,       0.00,  0.1117937,      21.70,  0.3198889,       0.00,  0.1390955,       4.25,  0.1667901,       0.00,  0.1525609,       6.13,  0.1950902,       0.00,  0.1576873,  0.2837614, -0.1902697,   212
